utterance_lst	utterance_str
['coffee', 'man', 'toast', 'eggs']	coffee man toast eggs
['letter', 'book', 'sugar', 'letter']	letter book sugar letter
['coffee', 'coffee', 'man', 'pizza']	coffee coffee man pizza
['book', 'boy', 'coffee', 'eggs']	book boy coffee eggs
['girl', 'girl', 'girl', 'sugar']	girl girl girl sugar
['girl', 'package', 'man', 'gift']	girl package man gift
['letter', 'package', 'girl', 'man']	letter package girl man
['book', 'coffee', 'boy', 'package']	book coffee boy package
['eggs', 'boy', 'book', 'sugar']	eggs boy book sugar
['boy', 'eggs', 'tea', 'soup']	boy eggs tea soup
['letter', 'boy', 'gift', 'eggs']	letter boy gift eggs
['boy', 'sugar', 'tea', 'coffee']	boy sugar tea coffee
['tea', 'sugar', 'tea', 'toast']	tea sugar tea toast
['toast', 'boy', 'woman', 'eggs']	toast boy woman eggs
['woman', 'letter', 'man', 'soup']	woman letter man soup
['coffee', 'letter', 'sugar', 'pizza']	coffee letter sugar pizza
['girl', 'soup', 'woman', 'girl']	girl soup woman girl
['package', 'letter', 'gift', 'package']	package letter gift package
['tea', 'woman', 'sugar', 'package']	tea woman sugar package
['woman', 'pizza', 'letter', 'girl']	woman pizza letter girl
['eggs', 'eggs', 'package', 'man']	eggs eggs package man
['boy', 'eggs', 'pizza', 'coffee']	boy eggs pizza coffee
['gift', 'man', 'eggs', 'coffee']	gift man eggs coffee
['woman', 'eggs', 'gift', 'gift']	woman eggs gift gift
['tea', 'gift', 'girl', 'letter']	tea gift girl letter
